scorer,,,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald
bodyparts,,,righteye,righteye,lefteye,lefteye,nose,nose,mouth,mouth,leftear,leftear,rightear,rightear
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,dog1,dog1 (1).png,,,,,,,,,,,463.2565082943622,250.8020670269418
labeled-data,dog1,dog1 (10).png,,,,,317.62082224088016,217.91658953099423,335.4729385958231,225.43327010149648,357.0833952360172,183.15194189242106,,
labeled-data,dog1,dog1 (100).png,394.6667980885288,145.56853903990958,420.97518008528687,139.93102861203286,426.6126905131636,163.42065539485256,399.36472344509275,177.51443146454437,,,357.0833952360173,146.50812411122237
labeled-data,dog1,dog1 (101).png,394.6667980885288,146.50812411122237,420.97518008528687,139.93102861203286,428.4918606557892,162.48107032353977,399.36472344509275,176.57484639323158,,,353.3250549507661,149.32687932516072
labeled-data,dog1,dog1 (102).png,392.78762794590324,145.56853903990958,420.97518008528687,138.99144354072007,426.6126905131636,162.48107032353977,399.36472344509275,177.51443146454437,,,357.0833952360173,148.38729425384795
labeled-data,dog1,dog1 (103).png,393.727213017216,147.44770918253516,420.0355950139741,138.99144354072007,427.5522755844764,162.48107032353977,400.3043085164055,175.6352613219188,,,354.26464002207894,147.44770918253516
labeled-data,dog1,dog1 (104).png,529.9670483575703,171.87692103666768,,,563.7921109248307,191.60820753423621,535.604558785447,200.0644731760513,,,488.6253052198076,169.9977508940421
labeled-data,dog1,dog1 (105).png,529.0274632862574,172.81650610798044,,,563.7921109248307,189.72903739161063,535.604558785447,201.9436433186769,,,495.2024007189972,170.9373359653549
labeled-data,dog1,dog1 (106).png,529.9670483575703,173.75609117929324,,,564.7316959961435,191.60820753423621,536.5441438567598,201.9436433186769,,,496.14198579030995,169.9977508940421
labeled-data,dog1,dog1 (107).png,529.9670483575703,171.87692103666768,,,563.7921109248307,189.72903739161063,533.7253886428215,202.88322838998968,,,491.444060433746,169.9977508940421
labeled-data,dog1,dog1 (108).png,531.8462185001958,170.9373359653549,,,567.5504512100819,188.78945232029784,536.5441438567598,200.0644731760513,,,491.444060433746,167.17899568010372
labeled-data,dog1,dog1 (109).png,530.9066334288831,169.0581658227293,,,566.610866138769,188.78945232029784,534.6649737141342,199.12488810473852,,,491.444060433746,166.23941060879093
labeled-data,dog1,dog1 (11).png,,,,,319.4999923835057,214.15824924574306,331.71459831057194,219.79575967361978,358.02298030733004,182.21235682110827,,
labeled-data,dog1,dog1 (110).png,532.7858035715086,169.0581658227293,,,566.610866138769,187.84986724898505,534.6649737141342,200.0644731760513,,,491.444060433746,166.23941060879093
labeled-data,dog1,dog1 (111).png,531.8462185001958,168.11858075141652,,,564.7316959961435,185.9706971063595,533.7253886428215,198.18530303342573,,,492.3836455050588,167.17899568010372
labeled-data,dog1,dog1 (112).png,530.9066334288831,168.11858075141652,,,566.610866138769,187.84986724898505,531.8462185001958,196.30613289080014,,,489.5648902911204,168.11858075141652
labeled-data,dog1,dog1 (113).png,531.8462185001958,171.87692103666768,,,566.610866138769,186.9102821776723,535.604558785447,198.18530303342573,,,491.444060433746,169.0581658227293
labeled-data,dog1,dog1 (114).png,532.7858035715086,168.11858075141652,,,566.610866138769,187.84986724898505,535.604558785447,198.18530303342573,,,489.5648902911204,169.0581658227293
labeled-data,dog1,dog1 (115).png,545.9399945698876,154.9643897530375,,,578.8254720658352,171.87692103666768,548.758749783826,185.0311120350467,,,510.23576186000173,147.4477091825352
labeled-data,dog1,dog1 (116).png,544.0608244272621,154.0248046817247,,,581.6442272797736,171.87692103666768,548.758749783826,183.15194189242112,,,512.1149320026273,149.32687932516075
labeled-data,dog1,dog1 (117).png,545.0004094985749,152.14563453909912,,,580.7046422084609,170.9373359653549,551.5775049977644,186.9102821776723,,,510.23576186000173,151.20604946778633
labeled-data,dog1,dog1 (118).png,546.8795796412005,155.90397482435029,,,580.7046422084609,171.87692103666768,552.5170900690772,185.0311120350467,,,507.4170066460633,148.38729425384798
labeled-data,dog1,dog1 (119).png,552.5170900690772,187.84986724898505,,,580.7046422084609,209.46032388917922,552.5170900690772,216.97700445968144,,,514.9336872165657,182.21235682110833
labeled-data,dog1,dog1 (12).png,,,,,321.37916252613127,216.97700445968144,331.71459831057194,223.5540999588709,358.02298030733004,184.09152696373386,,
