scorer,,,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald,Gerald
bodyparts,,,righteye,righteye,lefteye,lefteye,nose,nose,mouth,mouth,leftear,leftear,rightear,rightear
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,dog2,boson1687207223_167950301.png,366.4792459491451,93.89136011770623,,,407.8209890869078,107.98513618739804,405.0022338729694,123.95808239971544,,,322.3187475974441,103.28721083083408
labeled-data,dog2,boson1687207223_208933538.png,366.4792459491451,92.95177504639344,,,407.8209890869078,107.04555111608525,405.0022338729694,125.83725254234099,,,319.4999923835057,107.98513618739804
labeled-data,dog2,boson1687207223_234912352.png,368.35841609177066,93.89136011770623,,,407.8209890869078,107.98513618739804,407.8209890869078,124.89766747102823,,,323.25833266875685,102.34762575952129
labeled-data,dog2,boson1687207229_634486680.png,354.2646400220789,100.46845561689574,383.39177723277527,96.71011533164457,388.08970258933925,118.32057197183869,383.39177723277527,138.05185846940725,,,319.4999923835057,107.04555111608525
labeled-data,dog2,boson1687207229_667805289.png,356.14381016470446,100.46845561689574,381.5126070901497,95.77053026033178,385.27094737540085,122.07891225708985,384.3313623040881,136.17268832678167,,,318.5604073121929,105.16638097345967
labeled-data,dog2,boson1687207229_708470724.png,354.2646400220789,101.40804068820853,383.39177723277527,96.71011533164457,387.15011751802643,120.19974211446427,386.21053244671367,134.29351818415608,,,318.5604073121929,105.16638097345967
labeled-data,dog2,boson1687207229_734514416.png,355.20422509339164,102.34762575952129,384.3313623040881,96.71011533164457,386.21053244671367,121.13932718577706,386.21053244671367,136.17268832678167,,,318.5604073121929,108.92472125871083
labeled-data,dog2,boson1687207229_901502814.png,352.3854698794533,95.77053026033178,383.39177723277527,92.01218997508064,387.15011751802643,113.62264661527476,387.15011751802643,132.41434804153053,,,314.80206702694176,107.98513618739804
labeled-data,dog2,boson1687207229_934469819.png,353.32505495076606,98.58928547427016,381.5126070901497,92.01218997508064,385.27094737540085,112.68306154396197,384.3313623040881,130.53517789890495,,,315.7416520982546,103.28721083083408
labeled-data,dog2,boson1687207236_871270495.png,327.016672954008,92.01218997508064,359.90215044995557,92.01218997508064,348.62712959420213,107.98513618739804,349.56671466551495,125.83725254234099,374.9355115909602,104.22679590214688,294.13119545806046,106.10596604477246
labeled-data,dog2,boson1687207236_901497711.png,327.016672954008,90.13301983245506,359.90215044995557,91.07260490376785,349.56671466551495,107.98513618739804,349.56671466551495,126.77683761365378,376.81468173358576,107.04555111608525,294.13119545806046,105.16638097345967
labeled-data,dog2,boson1687207236_934709844.png,325.13750281138243,91.07260490376785,358.02298030733004,90.13301983245506,347.68754452288937,106.10596604477246,348.62712959420213,127.71642268496657,376.81468173358576,108.92472125871083,294.13119545806046,110.80389140133639
labeled-data,dog2,boson1687207238_867835983.png,321.37916252613127,90.13301983245506,352.3854698794533,89.19343476114227,344.86878930895097,102.34762575952129,347.68754452288937,120.19974211446427,372.11675637702183,109.8643063300236,289.4332701014965,111.74347647264918
labeled-data,dog2,boson1687207238_901641776.png,320.4395774548185,91.07260490376785,352.3854698794533,88.25384968982951,345.8083743802638,102.34762575952129,343.9292042376382,120.19974211446427,370.23758623439625,110.80389140133639,289.4332701014965,111.74347647264918
labeled-data,dog2,boson1687207238_934672339.png,319.4999923835057,90.13301983245506,351.4458848081405,87.31426461851672,345.8083743802638,100.46845561689574,343.9292042376382,119.26015704315148,372.11675637702183,108.92472125871083,292.2520253154349,107.98513618739804
labeled-data,dog2,boson1687207238_968063803.png,318.5604073121929,91.07260490376785,350.5062997368277,86.37467954720393,343.9292042376382,100.46845561689574,343.9292042376382,120.19974211446427,371.17717130570907,107.98513618739804,290.3728551728093,107.98513618739804
labeled-data,dog2,boson1687207239_101307307.png,317.62082224088016,90.13301983245506,351.4458848081405,86.37467954720393,344.86878930895097,101.40804068820853,343.9292042376382,121.13932718577706,368.35841609177066,106.10596604477246,291.31244024412206,105.16638097345967
labeled-data,dog2,boson1687207239_1311419.png,321.37916252613127,92.01218997508064,352.3854698794533,88.25384968982951,342.9896191663254,101.40804068820853,343.9292042376382,118.32057197183869,373.05634144833465,112.68306154396197,287.55409995887095,112.68306154396197
labeled-data,dog2,boson1687207239_140696312.png,318.5604073121929,89.19343476114227,349.56671466551495,85.43509447589113,342.0500340950126,101.40804068820853,343.9292042376382,119.26015704315148,370.23758623439625,110.80389140133639,287.55409995887095,108.92472125871083
